Industry,1971-1980,1981-1990,1991-2000,2001-2014,Combined
Chemical,0.522728819,0.4508416,0.341977185,0.549310446,0.484055248
Electronics,0.312306896,0.240042963,0.281564448,0.456581515,0.302081718
Machinery,0.451496134,0.377937816,0.380517602,0.515514157,0.414529755
Motor,0.435988794,0.379556785,0.425702542,0.501164316,0.436267768
Pharm,0.581978726,0.51236845,0.358954486,0.503724032,0.503724032
Precision,0.350781612,0.378500681,0.275246029,0.42353967,0.356771752
Cumulative,0.383791938,0.331692055,0.338913883,0.489663169,0.372653685
