Industry,1971-1980,1981-1990,1991-2000,2001-2014,Combined
Chemical,6.867831114,8.08956535,7.637404665,4.806256309,6.664445446
Electronics,7.280680608,8.662423794,7.294264441,4.375815158,6.673525014
Machinery,6.638326154,7.832170389,6.727487592,4.513543501,6.253851145
Motor,6.561015021,8.28521528,7.165346061,4.374433667,6.394496249
Pharm,7.587363319,8.335311383,8.242499506,5.041140204,7.096084203
Precision,7.617521742,8.938623822,7.929160833,4.65233222,7.045129888
Cumulative,6.904903431,8.136566725,6.951384527,4.550414896,6.44623535
