Code,Year,Pref,Municip,LDP,JCP,Turnout,EldPop,Fstrength,LDPPR,JCPPR,LDPDif,JCPDif,Kaso,Kaso2,IncomePerCapita,LATperCapita,Fusion,Kaso.fusion,Kaso2.fusion,social_capital,kuname,LDP_mean,Turnout_mean,LDP_relative,Turnout_relative
01101,2009,北海道,札幌市中央区,0.36645536230184983,0.07676461475334333,0.617598535351707,18.734,0.7,NA,NA,NA,NA,Normal,Normal,3095.7,462.03156379292335,1,Normal,Normal-Merged,NA,Hokkaido1,0.37112434747696776,0.6807896231627796,0.9874193509349108,0.9071797135839079
01101,2012,北海道,札幌市中央区,0.31460357559269336,0.0671881072677808,0.5322796692129067,18.734,0.69,0.25342703118983445,0.0625625721986908,0.06117654440285891,0.004625535069089998,Normal,Normal,2982.6,462.03156379292335,1,Normal,Normal-Merged,NA,Hokkaido1,0.3123938736460983,0.5562250795696264,1.0070734484028274,0.9569501426018991
01101,2014,北海道,札幌市中央区,0.40082466798106464,0.1158638497182718,0.4789843053411695,21.267,0.7,0.30850508097026325,0.12392442118335846,0.0923195870108014,-0.008060571465086666,Normal,Normal,3021.9,428.1258779515796,1,Normal,Normal-Merged,NA,Hokkaido1,0.3970637019728175,0.5273228944601511,1.0094719461626958,0.9083320871769308
01101,2017,北海道,札幌市中央区,0.4704675492354902,NA,0.5420697391254327,21.267,0.73,0.30708750544188074,0.08096647801480192,0.1633800437936095,NA,Normal,Normal,3097.9,428.1258779515796,1,Normal,Normal-Merged,NA,Hokkaido1,0.45218389948487114,0.5276132213797051,1.040434101637515,1.0273998398067505
01101,2021,北海道,札幌市中央区,0.40819465927827164,NA,0.5744177077383481,24.0005395653127,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,409.097104712884,1,Normal,Normal-Merged,NA,Hokkaido1,0.39341250273403755,0.2315002957299472,1.037574191062828,2.4812828248324377
01102,2009,北海道,札幌市北区,0.3029969617784224,0.08341981220539878,0.6750790241102665,20.068,0.7,NA,NA,NA,NA,Normal,Normal,3095.7,364.92540022454904,1,Normal,Normal-Merged,NA,Hokkaido2,0.3082213904219628,0.6697703635044918,0.9830497531777791,1.0079260906350018
01102,2012,北海道,札幌市北区,0.3404513064133017,0.10836896278701505,0.5330170962173933,20.068,0.69,0.2243500455221035,0.08257787392322717,0.11610126089119818,0.025791088863787878,Normal,Normal,2982.6,364.92540022454904,1,Normal,Normal-Merged,NA,Hokkaido2,0.3502066686161059,0.5250558409116766,0.9721439850321698,1.0151626830622307
01102,2014,北海道,札幌市北区,0.38189429098520006,0.14841287568560296,0.49390983864443344,24.169,0.7,0.2610975183502272,0.1440706209407997,0.12079677263497285,0.0043422547448032645,Normal,Normal,3021.9,356.5607438639287,1,Normal,Normal-Merged,NA,Hokkaido2,0.38889427762501183,0.48612177162785275,0.9820002837723382,1.0160208150943357
01102,2017,北海道,札幌市北区,0.4352874685704635,0.20203154317406014,0.55606993572744845,24.169,0.73,0.2991791148852353,0.09179031134553436,0.13610835368522822,0.11024123182852577,Normal,Normal,3097.9,356.5607438639287,1,Normal,Normal-Merged,NA,Hokkaido1,0.45218389948487114,0.5276132213797051,0.9626337184193067,1.0539348014693968
01102,2017,北海道,札幌市北区,0.4352874685704635,0.20203154317406014,0.55606993572744845,24.169,0.73,0.2991791148852353,0.09179031134553436,0.13610835368522822,0.11024123182852577,Normal,Normal,3097.9,356.5607438639287,1,Normal,Normal-Merged,NA,Hokkaido2,0.43123288643951446,0.5501311266771391,1.0094023026964056,1.0107952609156665
01102,2017,北海道,札幌市北区,0.4352874685704635,0.20203154317406014,0.55606993572744845,24.169,0.73,0.2991791148852353,0.09179031134553436,0.13610835368522822,0.11024123182852577,Normal,Normal,3097.9,356.5607438639287,1,Normal,Normal-Merged,NA,Hokkaido1,0.45218389948487114,0.5276132213797051,0.9626337184193067,1.0539348014693968
01102,2017,北海道,札幌市北区,0.4352874685704635,0.20203154317406014,0.55606993572744845,24.169,0.73,0.2991791148852353,0.09179031134553436,0.13610835368522822,0.11024123182852577,Normal,Normal,3097.9,356.5607438639287,1,Normal,Normal-Merged,NA,Hokkaido2,0.43123288643951446,0.5501311266771391,1.0094023026964056,1.0107952609156665
01102,2021,北海道,札幌市北区,0.38045977011494253,NA,0.014712597027040739,27.483667174288602,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,351.6286918081176,1,Normal,Normal-Merged,NA,Hokkaido1,0.39341250273403755,0.2315002957299472,0.9670759507410683,0.06355325370384611
01102,2021,北海道,札幌市北区,0.38045977011494253,NA,0.014712597027040739,27.483667174288602,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,351.6286918081176,1,Normal,Normal-Merged,NA,Hokkaido1,0.39341250273403755,0.2315002957299472,0.9670759507410683,0.06355325370384611
01102,2021,北海道,札幌市北区,0.38045977011494253,NA,0.014712597027040739,27.483667174288602,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,351.6286918081176,1,Normal,Normal-Merged,NA,Hokkaido1,0.39341250273403755,0.2315002957299472,0.9670759507410683,0.06355325370384611
01102,2021,北海道,札幌市北区,0.38045977011494253,NA,0.014712597027040739,27.483667174288602,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,351.6286918081176,1,Normal,Normal-Merged,NA,Hokkaido1,0.39341250273403755,0.2315002957299472,0.9670759507410683,0.06355325370384611
