Code,Year,Pref,Municip,Ku,JCP,LDP,TotVote,VotePop,Turnout,EldPop,Fstrength,JCPPR,LDPPR,LDPDif,JCPDif,Kaso,Kaso2,IncomePerCapita,Fusion,Kaso.fusion,Kaso2.fusion
01108,2014,北海道,札幌市厚別区,５区,0.150013674168691,0.45312977590450604,62161,110073,0.5647252278033669,27.952,0.7,0.14076681451549256,0.26120310008997205,0.191926675814534,0.009246859653198436,Normal,Normal,3021.9,1,Normal,Normal-Merged
01108,2017,北海道,札幌市厚別区,５区,NA,0.4368234655699312,70026,110073,0.6361778092720286,27.952,0.73,0.09003279340157011,0.26657770332618785,0.17024576224374333,NA,Normal,Normal,3097.9,1,Normal,Normal-Merged
01108,2021,北海道,札幌市厚別区,５区,0.07602579132473622,0.4419109026963658,68240,107400,0.6353817504655493,32.3373612980827,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,1,Normal,Normal-Merged
01109,2009,北海道,札幌市手稲区,４区,NA,0.28675300245984664,82932,117719,0.7044912036289809,21.546,0.7,NA,NA,NA,NA,Normal,Normal,3095.7,1,Normal,Normal-Merged
01109,2012,北海道,札幌市手稲区,４区,0.11384578079534433,0.37907674587778856,65984,117719,0.5605212412609689,21.546,0.69,0.07684117125110913,0.21675539781129843,0.16232134806649012,0.03700460954423519,Normal,Normal,2982.6,1,Normal,Normal-Merged
01109,2014,北海道,札幌市手稲区,４区,0.1414002205071665,0.4077698150189881,65304,119613,0.5459607233327481,27.348,0.7,0.13132087958367175,0.25698643323406434,0.1507833817849238,0.010079340923494745,Normal,Normal,3021.9,1,Normal,Normal-Merged
01109,2017,北海道,札幌市手稲区,４区,NA,0.40737698184506693,73038,119613,0.6106192470718066,27.348,0.73,0.08366387741795261,0.2568735057596175,0.15050347608544945,NA,Normal,Normal,3097.9,1,Normal,Normal-Merged
01109,2021,北海道,札幌市手稲区,４区,NA,0.46260104512531697,71379,117743,0.6062271217821866,31.2824754512099,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,1,Normal,Normal-Merged
01110,2009,北海道,札幌市清田区,３区,NA,0.35581256289468693,68567,96455,0.7108703540511119,19.339,0.7,NA,NA,NA,NA,Normal,Normal,3095.7,1,Normal,Normal-Merged
01110,2012,北海道,札幌市清田区,３区,0.07239660265878878,0.3659158050221566,54160,96455,0.5615053651962055,19.339,0.69,0.06364166697050352,0.23055747985561673,0.13535832516653987,0.008754935688285254,Normal,Normal,2982.6,1,Normal,Normal-Merged
01110,2014,北海道,札幌市清田区,３区,0.12455635670788658,0.38568012851645683,53534,96664,0.5538152776628321,25.284,0.7,0.12058181279840112,0.27038380398978495,0.11529632452667188,0.003974543909485456,Normal,Normal,3021.9,1,Normal,Normal-Merged
01110,2017,北海道,札幌市清田区,３区,NA,0.44248467567059946,58567,96664,0.6058822312339651,25.284,0.73,0.0779179118337301,0.2699353357308075,0.17254933993979193,NA,Normal,Normal,3097.9,1,Normal,Normal-Merged
01110,2021,北海道,札幌市清田区,３区,NA,0.44498345037740145,57101,92223,0.6191622480292335,30.0354239723033,0.28,NA,NA,NA,NA,Normal,Normal,3087.259673,1,Normal,Normal-Merged
01202,2009,北海道,函館市,８区,NA,0.20514450242479326,157333,240678,0.6537074431397968,27.456,0.48,0.07755835285305301,0.22629544285959133,-0.021150940434798066,NA,一部過疎,Kaso,2775.9,1,一部過疎,Kaso-Merged
01202,2012,北海道,函館市,８区,0.08300263525034879,0.4401410634010231,129020,240678,0.5360689385818397,27.456,0.44,0.07584515948821005,0.2587658382538931,0.18137522514713,0.0071574757621387375,一部過疎,Kaso,2739.3,1,一部過疎,Kaso-Merged
01202,2014,北海道,函館市,８区,0.09603907137185257,0.40549355783433944,117119,231645,0.5055969263312396,32.307,0.45,0.11858235742617516,0.277942927635806,0.1275506301985334,-0.022543286054322598,一部過疎,Kaso,2706.3,1,一部過疎,Kaso-Merged
01202,2017,北海道,函館市,８区,NA,0.42097377707471406,131488,231645,0.5676271881542878,32.307,0.47,0.09553263018609554,0.2985990906782986,0.12237468639641547,NA,一部過疎,Kaso,2768,1,一部過疎,Kaso-Merged
01202,2021,北海道,函館市,８区,NA,0.4540021789284799,124832,216952,0.5753899480069324,35.9029159506047,0.47,0.08036620996406314,0.34212300946492663,0.11187916946355325,NA,一部過疎,Kaso,2811.40852,1,一部過疎,Kaso-Merged
01203,2009,北海道,小樽市,４区,NA,0.33513300783411837,81311,115416,0.704503708324669,31.538,0.48,0.11554778526279755,0.22065457924272247,0.1144784285913959,NA,Normal,Normal,2540.9,0,Normal,Normal
01203,2012,北海道,小樽市,４区,0.1640222984562607,0.39520385275102254,60632,115416,0.52533444236501,31.538,0.43,0.12082173841872647,0.22242592895727614,0.1727779237937464,0.04320056003753424,Normal,Normal,2487.8,0,Normal,Normal
01203,2014,北海道,小樽市,４区,0.17385743974138085,0.41256505444146435,56299,107628,0.5230887873044189,37.105,0.42,0.17436885651651227,0.24851495650944064,0.16405009793202371,-5.11416775131418e-4,Normal,Normal,2478.7,0,Normal,Normal
01203,2017,北海道,小樽市,４区,NA,0.43614773564818604,61055,107628,0.5672780317389526,37.105,0.44,0.13219521794745645,0.25486240939355176,0.18128532625463428,NA,Normal,Normal,2523.8,0,Normal,Normal
01203,2021,北海道,小樽市,４区,NA,0.4711700076077918,56521,98134,0.5759573644200787,41.160260539689396,0.44,0.13106017629866276,0.2888564146737561,0.1823135929340357,NA,Normal,Normal,2555.0731,0,Normal,Normal
01204,2009,北海道,旭川市,６区,0.06626461934803929,0.3664144112495182,204951,297461,0.6890012472223249,26.488,0.52,0.07313212740857256,0.23828647267007472,0.12812793857944346,-0.006867508060533267,Normal,Normal,2740.9,0,Normal,Normal
01204,2012,北海道,旭川市,６区,0.09158744489882628,0.41185139943703863,150632,297461,0.5063924346384904,26.488,0.48,0.0735906692585393,0.2528398196268232,0.1590115798102154,0.017996775640286983,Normal,Normal,2672,0,Normal,Normal
01204,2014,北海道,旭川市,６区,0.1219072643605423,0.4384066693722013,145381,293572,0.49521412123772024,31.343,0.48,0.12018037711465358,0.287372914561465,0.15103375481073628,0.0017268872458887224,Normal,Normal,2683,0,Normal,Normal
